D	F
5.843000	35.679433
5.848000	35.659433
5.854000	35.629434
5.859000	35.605434
5.865000	35.586434
5.870000	35.568434
5.875000	35.554435
5.880000	35.540435
5.886000	35.530435
5.891000	35.516435
5.897000	35.506435
5.902000	35.498436
5.907000	35.486311
5.912000	35.476436
5.918000	35.464936
5.923000	35.454436
5.928000	35.444436
5.934000	35.434437
5.939000	35.424437
5.944000	35.414437
5.950000	35.406062
5.955000	35.397437
5.961000	35.389437
5.966000	35.381437
5.971000	35.373438
5.976000	35.364438
5.982000	35.350438
5.987000	35.337438
5.993000	35.322438
5.998000	35.305439
6.003000	35.286439
6.009000	35.266439
6.014000	35.242440
6.019000	35.216815
6.025000	35.193440
6.030000	35.169841
6.035000	35.139441
6.041000	35.113442
6.046000	35.079442
6.051000	35.015443
6.056000	34.964444
6.062000	34.910512
6.067000	34.865446
6.073000	34.829446
6.078000	34.794447
6.083000	34.758447
6.089000	34.723448
6.094000	34.683449
6.099000	34.644824
6.105000	34.603137
6.110000	34.562450
6.115000	34.525184
6.121000	34.487452
6.126000	34.451202
6.131000	34.412453
6.137000	34.375453
6.142000	34.342787
6.147000	34.309454
6.153000	34.281455
6.158000	34.250455
6.163000	34.218456
6.169000	34.193456
6.174000	34.164457
6.179000	34.135457
6.185000	34.107458
6.190000	34.081458
6.195000	34.056459
6.201000	34.032521
6.206000	34.002459
6.211000	33.978460
6.217000	33.954460
6.222000	33.930461
6.227000	33.899128
6.233000	33.885461
6.238000	33.864462
6.243000	33.840462
6.249000	33.814462
6.254000	33.792463
6.259000	33.764463
6.265000	33.735776
6.270000	33.711464
6.276000	33.687798
6.281000	33.662465
6.286000	33.640465
6.292000	33.618465
6.297000	33.596066
6.302000	33.577466
6.307000	33.561904
6.313000	33.543467
6.318000	33.519967
6.323000	33.500467
6.329000	33.481001
6.334000	33.461468
6.339000	33.426594
6.345000	33.398469
6.350000	33.366094
6.355000	33.335470
6.361000	33.304470
6.366000	33.278471
6.372000	33.253471
6.377000	33.230472
6.382000	33.207472
6.388000	33.187472
6.393000	33.169473
6.398000	33.154785
6.404000	33.139473
6.409000	33.125807
6.414000	33.108474
6.420000	33.096474
6.425000	33.094474
6.430000	33.079874
6.435000	33.066474
6.441000	33.055912
6.446000	33.048475
6.452000	33.042475
6.457000	33.035475
6.462000	33.033475
6.467000	33.032475
6.473000	33.032475
6.478000	33.033475
6.484000	33.036475
6.489000	33.040350
6.494000	33.043475
6.500000	33.044475
6.505000	33.047475
6.510000	33.050475
6.516000	33.054474
6.521000	33.054474
6.526000	33.062474
6.531000	33.065474
6.537000	33.069287
6.542000	33.072474
6.548000	33.074607
6.553000	33.078099
6.558000	33.082474
6.564000	33.085874
6.569000	33.088474
6.574000	33.090474
6.579000	33.094474
6.585000	33.097474
6.590000	33.096474
6.596000	33.096474
6.601000	33.096474
6.606000	33.095474
6.612000	33.093474
6.617000	33.091474
6.622000	33.089474
6.628000	33.088474
6.633000	33.085474
6.638000	33.079474
6.644000	33.074474
6.649000	33.074474
6.654000	33.068474
6.660000	33.061474
6.665000	33.056474
6.670000	33.052474
6.676000	33.048475
6.681000	33.040475
6.686000	33.029475
6.692000	33.014475
6.697000	33.000475
6.702000	32.986476
6.708000	32.973913
6.713000	32.958476
6.718000	32.938476
6.723000	32.934476
6.729000	32.922477
6.734000	32.908539
6.740000	32.895477
6.745000	32.881477
6.750000	32.868477
6.756000	32.844603
6.761000	32.822478
6.766000	32.801666
6.772000	32.776479
6.777000	32.759479
6.782000	32.738479
6.788000	32.718730
6.793000	32.701230
6.798000	32.684480
6.804000	32.668293
6.809000	32.655814
6.814000	32.645481
6.820000	32.629481
6.825000	32.618481
6.830000	32.618481
6.836000	32.613481
6.841000	32.601482
6.846000	32.585482
6.852000	32.569482
6.857000	32.555482
6.862000	32.539483
6.868000	32.526483
6.873000	32.510483
6.878000	32.498483
6.884000	32.486108
6.889000	32.469484
6.894000	32.456484
6.900000	32.447484
6.905000	32.438484
6.910000	32.427484
6.916000	32.422484
6.921000	32.411735
6.927000	32.402485
6.932000	32.392485
6.937000	32.383298
6.942000	32.375485
6.948000	32.367485
6.953000	32.359485
6.958000	32.351486
6.964000	32.343486
6.969000	32.335486
6.974000	32.329486
6.980000	32.322486
6.985000	32.315486
6.990000	32.301486
6.996000	32.295487
7.001000	32.293487
7.006000	32.280487
7.012000	32.269487
7.017000	32.260487
7.022000	32.252487
7.028000	32.240487
7.033000	32.232488
7.039000	32.216488
7.044000	32.204488
7.049000	32.186488
7.054000	32.169489
7.060000	32.150489
7.065000	32.136489
7.071000	32.122302
7.076000	32.111489
7.081000	32.097356
7.087000	32.084490
7.092000	32.074490
7.097000	32.061490
7.103000	32.049490
7.108000	32.042491
7.113000	32.037491
7.119000	32.033991
7.124000	32.029491
7.129000	32.028491
7.134000	32.028491
7.140000	32.028491
7.145000	32.031491
7.151000	32.038491
7.156000	32.039491
7.161000	32.042491
7.167000	32.045678
7.172000	32.050490
7.177000	32.053490
7.183000	32.060490
7.188000	32.063490
7.193000	32.068240
7.199000	32.070490
7.204000	32.073678
7.209000	32.078490
7.215000	32.082357
7.220000	32.085490
7.225000	32.085490
7.231000	32.087490
7.236000	32.090490
7.241000	32.094490
7.247000	32.095490
7.252000	32.098490
7.257000	32.099490
7.263000	32.102490
7.268000	32.100490
7.273000	32.097927
7.279000	32.097490
7.284000	32.096490
7.289000	32.097490
7.295000	32.097156
7.300000	32.095490
7.305000	32.094490
7.311000	32.093490
7.316000	32.095490
7.321000	32.096490
7.327000	32.097490
7.332000	32.101490
7.337000	32.105490
7.343000	32.111489
7.348000	32.116489
7.353000	32.122489
7.359000	32.132489
7.364000	32.137489
7.369000	32.148489
7.375000	32.164051
7.380000	32.174488
7.385000	32.187488
7.391000	32.199488
7.396000	32.215954
7.401000	32.235487
7.407000	32.251487
7.412000	32.269487
7.417000	32.287487
7.423000	32.298486
7.428000	32.319486
7.433000	32.336486
7.439000	32.355486
7.444000	32.372485
