"Disp"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"
29.0	0.696875	1.274802	0.862616	1.490596	1.300771	1.28562	1.161967	1.310475	1.342786	1.619297	2.011384	1.301776	1.207327	1.544111	1.358321
29.5	0.715558	1.303449	0.886267	1.52047	1.3294	1.316689	1.19055	1.345893	1.372612	1.650366	2.046802	1.329738	1.240881	1.576423	1.388147
30.0	0.736732	1.327114	0.909917	1.549722	1.357407	1.348379	1.221619	1.380069	1.406788	1.687027	2.084084	1.36267	1.274436	1.610598	1.422944
30.5	0.757283	1.356384	0.934812	1.576484	1.388526	1.376962	1.255173	1.41238	1.437235	1.720581	2.121367	1.395603	1.30364	1.645395	1.45774
31.0	0.775343	1.387522	0.961574	1.610715	1.414666	1.416108	1.287484	1.447798	1.469547	1.755378	2.156163	1.428536	1.337816	1.680192	1.491916
31.5	0.798386	1.413678	0.982735	1.639344	1.445785	1.444692	1.320417	1.481974	1.50745	1.79266	2.19096	1.459605	1.376341	1.719338	1.521742
32.0	0.822051	1.443571	1.009498	1.665484	1.473169	1.47576	1.35335	1.514907	1.540383	1.82435	2.233835	1.491916	1.408031	1.752892	1.556539
32.5	0.842602	1.468482	1.035015	1.69847	1.499932	1.508072	1.382554	1.552189	1.575801	1.862254	2.267389	1.529198	1.442827	1.783961	1.589471
33.0	0.865022	1.497129	1.05991	1.725232	1.53354	1.537276	1.415487	1.582636	1.606248	1.897672	2.302807	1.562131	1.476382	1.819379	1.626132
33.5	0.884327	1.529513	1.08356	1.758841	1.563414	1.576423	1.449041	1.618055	1.639181	1.929984	2.341332	1.591336	1.506207	1.854176	1.662172
34.0	0.906124	1.557537	1.1097	1.786848	1.589554	1.605006	1.483838	1.65223	1.673978	1.964781	2.376751	1.62489	1.547218	1.88773	1.694483
34.5	0.929167	1.586807	1.137707	1.8161	1.618183	1.63856	1.517392	1.68827	1.70629	2.00082	2.410305	1.664658	1.578287	1.920042	1.728659
35.0	0.952209	1.613586	1.163225	1.845974	1.654281	1.668386	1.545354	1.724309	1.744193	2.036238	2.44883	1.695105	1.613705	1.960431	1.761592
35.5	0.971515	1.642233	1.189987	1.875848	1.680421	1.701319	1.582015	1.759106	1.77899	2.072278	2.483006	1.725552	1.649745	1.992742	1.793903
36.0	0.993934	1.672749	1.213015	1.909456	1.710918	1.732387	1.614326	1.790796	1.811301	2.106454	2.520909	1.76097	1.680813	2.030025	1.8287
36.5	1.016354	1.699528	1.241022	1.940575	1.740792	1.770912	1.645395	1.827457	1.842992	2.141872	2.556949	1.793282	1.711261	2.062958	1.859769
37.0	1.039396	1.733157	1.267162	1.970449	1.770044	1.803224	1.686406	1.864118	1.879653	2.17729	2.594231	1.829321	1.752892	2.097133	1.902022
37.5	1.059325	1.762427	1.295169	1.999701	1.801163	1.835535	1.716853	1.899536	1.910721	2.213951	2.631514	1.859769	1.785825	2.139386	1.932469
38.0	1.083613	1.790452	1.320687	2.028331	1.832904	1.86474	1.749164	1.931848	1.952353	2.246884	2.666932	1.894565	1.821865	2.171698	1.966645
38.5	1.1079	1.819099	1.348071	2.060072	1.859044	1.897051	1.781476	1.967266	1.985907	2.283545	2.701107	1.930605	1.854798	2.206495	2.001441
39.0	1.130943	1.850237	1.376078	2.090569	1.890163	1.935576	1.816272	2.001441	2.022568	2.319584	2.73839	1.963538	1.88773	2.242534	2.03686
39.5	1.152117	1.883244	1.40284	2.126666	1.922526	1.967266	1.849827	2.038103	2.05488	2.356246	2.780643	1.997713	1.922527	2.276088	2.071035
40.0	1.173914	1.913137	1.430848	2.158408	1.956135	2.00082	1.884624	2.074764	2.089055	2.391664	2.817304	2.030646	1.961674	2.313371	2.105211
40.5	1.198201	1.943652	1.45761	2.18766	1.985387	2.03251	1.922527	2.105832	2.118881	2.424596	2.855829	2.065443	1.995228	2.345061	2.140008
41.0	1.223735	1.971677	1.484994	2.219401	2.014638	2.066686	1.954217	2.143115	2.153678	2.459393	2.890626	2.102725	2.03251	2.379236	2.171076
41.5	1.244909	2.002815	1.513001	2.248652	2.047002	2.098997	1.985286	2.179775	2.189096	2.496054	2.929151	2.138765	2.064822	2.419626	2.206495
42.0	1.269197	2.029594	1.542253	2.276659	2.076876	2.130687	2.021326	2.215194	2.228864	2.533337	2.962705	2.169834	2.099618	2.455665	2.24067
42.5	1.292862	2.060732	1.569638	2.309023	2.104883	2.164241	2.054258	2.249991	2.26304	2.567512	2.998123	2.203388	2.135037	2.487355	2.273603
43.0	1.317773	2.093739	1.595155	2.344499	2.13538	2.197795	2.088434	2.28603	2.299079	2.602309	3.039134	2.23632	2.171076	2.525259	2.312749
43.5	1.339569	2.1255	1.62503	2.374995	2.173967	2.234456	2.123231	2.322691	2.333876	2.642077	3.077038	2.27671	2.205252	2.560056	2.346925
44.0	1.36448	2.15477	1.653037	2.407981	2.205086	2.269875	2.158649	2.355003	2.366809	2.673767	3.109971	2.311507	2.242534	2.595474	2.382964
44.5	1.388768	2.185285	1.683533	2.436611	2.232471	2.302807	2.193446	2.392906	2.402227	2.711049	3.152224	2.341954	2.27671	2.629028	2.419004
45.0	1.414301	2.21331	1.71154	2.468352	2.264834	2.332633	2.227621	2.429567	2.442616	2.74771	3.183914	2.377372	2.313992	2.665689	2.44883
45.5	1.436098	2.248807	1.741414	2.498849	2.293464	2.363702	2.25869	2.464364	2.474306	2.78375	3.221196	2.409062	2.351896	2.7067	2.483627
46.0	1.461631	2.280568	1.767554	2.534946	2.333296	2.397256	2.293487	2.497918	2.510346	2.822275	3.260964	2.44448	2.387935	2.741497	2.517181
46.5	1.487165	2.311084	1.797428	2.566688	2.361303	2.43081	2.328905	2.533958	2.545143	2.857072	3.297004	2.485491	2.420247	2.778157	2.559434
47.0	1.513321	2.341599	1.82668	2.594073	2.393044	2.464364	2.363702	2.569376	2.581804	2.891869	3.333665	2.517802	2.456286	2.811712	2.594231
47.5	1.535118	2.372738	1.855309	2.628303	2.42603	2.501647	2.395392	2.607901	2.614115	2.924802	3.368462	2.552599	2.490462	2.848373	2.630892
48.0	1.559406	2.401385	1.887051	2.663157	2.454037	2.538929	2.431432	2.641455	2.652019	2.961462	3.403259	2.588017	2.524637	2.882548	2.662582
48.5	1.586185	2.435014	1.916925	2.69552	2.485156	2.568755	2.465607	2.678738	2.686816	2.997502	3.440541	2.62095	2.560677	2.922937	2.693029
49.0	1.612341	2.469266	1.94431	2.727884	2.516898	2.60293	2.501025	2.714777	2.722855	3.032299	3.477202	2.66134	2.599202	2.958356	2.730933
49.5	1.633515	2.501028	1.972939	2.76087	2.548639	2.635242	2.538308	2.75206	2.760759	3.072067	3.514484	2.696136	2.635242	2.992531	2.767594
50.0	1.662162	2.530298	2.004058	2.788877	2.581002	2.67501	2.569376	2.784371	2.792449	3.103757	3.551145	2.730312	2.673767	3.026707	2.801148
50.5	1.68645	2.563304	2.033932	2.822485	2.618968	2.706078	2.606037	2.820411	2.830353	3.139796	3.585321	2.763245	2.707942	3.063989	2.837188
51.0	1.713229	2.590706	2.065051	2.857961	2.651331	2.740875	2.642077	2.857072	2.867014	3.172729	3.62571	2.798663	2.742118	3.098165	2.875092
51.5	1.737517	2.631808	2.091813	2.890947	2.683073	2.775051	2.678117	2.895597	2.898704	3.212497	3.659885	2.830974	2.774429	3.140418	2.911753
