"Disp"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"
32.0	nan	nan	nan	nan	nan	352.33
32.1	nan	nan	nan	nan	nan	352.19
32.2	nan	nan	nan	nan	nan	355.19
32.300000000000004	nan	nan	nan	nan	nan	356.99
32.4	nan	nan	nan	nan	nan	356.33
32.5	nan	nan	nan	nan	nan	353.59
32.6	nan	nan	nan	nan	nan	355.19
32.7	nan	nan	nan	nan	nan	354.79
32.800000000000004	nan	nan	nan	nan	nan	356.59
32.9	nan	nan	nan	nan	nan	355.59
33.0	nan	nan	nan	nan	nan	356.99
33.1	nan	nan	nan	nan	nan	358.26
33.2	nan	nan	nan	nan	nan	356.53
33.300000000000004	nan	nan	nan	nan	nan	355.59
33.4	nan	nan	nan	nan	nan	354.99
33.5	nan	nan	nan	nan	nan	354.79
33.6	nan	nan	nan	nan	nan	355.39
33.7	nan	nan	nan	nan	nan	356.66
33.800000000000004	nan	nan	nan	nan	nan	354.73
33.9	nan	nan	nan	nan	nan	356.26
34.0	nan	nan	nan	nan	nan	356.99
34.1	nan	nan	nan	nan	nan	358.66
34.2	nan	nan	nan	nan	nan	358.39
34.300000000000004	nan	nan	nan	nan	nan	356.99
34.4	nan	nan	nan	nan	nan	356.93
34.5	nan	nan	nan	nan	nan	355.59
34.6	nan	nan	nan	nan	nan	357.79
34.7	nan	nan	nan	nan	nan	357.79
34.800000000000004	nan	nan	nan	nan	nan	356.79
34.9	nan	nan	nan	nan	nan	356.79
35.0	nan	nan	nan	nan	nan	358.33
35.1	nan	nan	nan	nan	nan	358.19
35.2	nan	nan	nan	nan	nan	357.59
35.300000000000004	nan	nan	nan	nan	nan	359.19
35.4	nan	nan	nan	nan	nan	356.86
35.5	nan	nan	nan	nan	nan	355.59
35.6	nan	nan	nan	nan	nan	355.99
35.7	nan	nan	nan	nan	nan	356.19
35.800000000000004	nan	nan	nan	nan	nan	356.19
35.9	nan	nan	nan	nan	nan	357.39
36.0	nan	nan	nan	nan	nan	356.19
36.1	nan	nan	nan	nan	nan	357.59
36.2	nan	nan	nan	nan	nan	358.47
36.300000000000004	nan	nan	nan	nan	nan	358.79
36.4	nan	nan	nan	nan	nan	359.06
36.5	nan	nan	nan	nan	nan	358.19
36.6	nan	nan	nan	nan	nan	360.33
36.7	nan	nan	nan	nan	nan	360.19
36.800000000000004	nan	nan	nan	nan	nan	359.19
36.9	nan	nan	nan	nan	nan	357.99
37.0	nan	nan	nan	nan	nan	357.99
37.1	nan	nan	nan	nan	nan	358.99
37.2	nan	nan	nan	nan	nan	358.99
37.300000000000004	nan	nan	nan	nan	nan	359.34
